State-County FIPS Code,Select State,Select County,Total-FIPS-Code,Primary RUCA Code 2010,"Secondary RUCA Code, 2010 (see errata)","Tract Population, 2010","Land Area (square miles), 2010","Population Density (per square mile), 2010",Urban-or-Rural-USDA-Classification
55001,WI,Adams County,55001950201,10,10.0,"1,379",42.5,32.4,Rural
55001,WI,Adams County,55001950202,10,10.0,"2,674",180.6,14.8,Rural
55001,WI,Adams County,55001950400,10,10.0,"4,767",91.0,52.4,Rural
55001,WI,Adams County,55001950501,10,10.0,"1,469",44.1,33.3,Rural
55001,WI,Adams County,55001950502,10,10.0,"4,112",96.3,42.7,Rural
55003,WI,Ashland County,55003950600,10,10.3,"1,391",200.5,6.9,Rural
55003,WI,Ashland County,55003950700,10,10.0,"2,206",404.3,5.5,Rural
55005,WI,Barron County,55005000200,10,10.0,"3,933",70.5,55.8,Rural
55005,WI,Barron County,55005000300,10,10.0,"4,215",98.3,42.9,Rural
55005,WI,Barron County,55005000900,10,10.0,"5,123",217.4,23.6,Rural
55007,WI,Bayfield County,55007960100,10,10.0,"2,713",176.1,15.4,Rural
55007,WI,Bayfield County,55007960200,10,10.0,"1,679",323.5,5.2,Rural
55007,WI,Bayfield County,55007960600,10,10.0,"2,035",339.0,6,Rural
55011,WI,Buffalo County,55011960100,10,10.0,"2,726",231.6,11.8,Rural
55011,WI,Buffalo County,55011960200,10,10.1,"2,900",11.4,254,Rural
55011,WI,Buffalo County,55011960300,10,10.0,"2,163",129.3,16.7,Rural
55013,WI,Burnett County,55013970400,10,10.0,"3,780",244.4,15.5,Rural
55013,WI,Burnett County,55013970600,10,10.0,"1,913",152.0,12.6,Rural
55013,WI,Burnett County,55013970700,10,10.0,"2,489",108.1,23,Rural
55013,WI,Burnett County,55013970800,10,10.0,"2,329",80.4,29,Rural
55013,WI,Burnett County,55013970900,10,10.0,"3,019",113.8,26.5,Rural
55013,WI,Burnett County,55013971000,10,10.0,"1,927",123.2,15.6,Rural
55019,WI,Clark County,55019950200,10,10.0,"4,520",121.0,37.4,Rural
55019,WI,Clark County,55019950300,10,10.0,"4,350",112.7,38.6,Rural
55019,WI,Clark County,55019950400,10,10.0,"3,988",217.8,18.3,Rural
55019,WI,Clark County,55019950500,10,10.0,"5,277",158.9,33.2,Rural
55019,WI,Clark County,55019950600,10,10.0,"4,797",211.8,22.7,Rural
55019,WI,Clark County,55019950700,10,10.0,"3,635",40.2,90.4,Rural
55019,WI,Clark County,55019950800,10,10.0,"3,173",306.8,10.3,Rural
55021,WI,Columbia County,55021970100,10,10.0,"4,153",142.3,29.2,Rural
55023,WI,Crawford County,55023960100,10,10.0,"2,802",137.8,20.3,Rural
55023,WI,Crawford County,55023960200,10,10.0,"2,291",135.8,16.9,Rural
55023,WI,Crawford County,55023960400,10,10.3,"3,233",85.5,37.8,Rural
55025,WI,Dane County,55025991702,10,10.0,0,0.0,,Rural
55027,WI,Dodge County,55027960100,10,10.0,"6,008",57.6,104.2,Rural
55027,WI,Dodge County,55027960200,10,10.0,"3,171",122.8,25.8,Rural
55027,WI,Dodge County,55027960500,10,10.0,"3,885",34.1,113.9,Rural
55029,WI,Door County,55029100100,10,10.0,"2,212",75.7,29.2,Rural
55029,WI,Door County,55029100300,10,10.0,"2,384",44.3,53.8,Rural
55029,WI,Door County,55029100400,10,10.0,"2,559",67.8,37.8,Rural
55035,WI,Eau Claire County,55035000100,10,10.1,"4,817",186.1,25.9,Rural
55039,WI,Fond du Lac County,55039041700,10,10.0,"3,986",108.6,36.7,Rural
55041,WI,Forest County,55041950100,10,10.0,"1,260",503.2,2.5,Rural
55041,WI,Forest County,55041950200,10,10.0,"2,806",285.9,9.8,Rural
55041,WI,Forest County,55041950300,10,10.0,"2,608",118.2,22.1,Rural
55041,WI,Forest County,55041950400,10,10.0,"2,630",106.7,24.7,Rural
55043,WI,Grant County,55043960100,10,10.0,"3,656",140.8,26,Rural
55043,WI,Grant County,55043960300,10,10.0,"4,116",97.4,42.3,Rural
55043,WI,Grant County,55043960400,10,10.0,"3,509",199.9,17.5,Rural
55043,WI,Grant County,55043960500,10,10.0,"3,864",219.7,17.6,Rural
55043,WI,Grant County,55043960600,10,10.0,"3,784",191.5,19.8,Rural
55043,WI,Grant County,55043960800,10,10.0,"3,037",97.8,31.1,Rural
55047,WI,Green Lake County,55047100300,10,10.0,"3,039",107.2,28.4,Rural
55047,WI,Green Lake County,55047100400,10,10.0,"2,837",40.8,69.5,Rural
55047,WI,Green Lake County,55047100500,10,10.0,"3,073",83.3,36.9,Rural
55047,WI,Green Lake County,55047100600,10,10.0,"3,898",101.7,38.3,Rural
55049,WI,Iowa County,55049950300,10,10.0,"3,248",151.8,21.4,Rural
55049,WI,Iowa County,55049950600,10,10.0,"3,496",60.7,57.6,Rural
55051,WI,Iron County,55051180300,10,10.0,"1,909",335.8,5.7,Rural
55053,WI,Jackson County,55053960300,10,10.0,"4,077",222.1,18.4,Rural
55057,WI,Juneau County,55057100100,10,10.0,"2,874",263.8,10.9,Rural
55057,WI,Juneau County,55057100200,10,10.0,"3,669",143.2,25.6,Rural
55057,WI,Juneau County,55057100600,10,10.0,"3,383",59.3,57.1,Rural
55065,WI,Lafayette County,55065970200,10,10.0,"3,895",99.4,39.2,Rural
55065,WI,Lafayette County,55065970300,10,10.0,"3,433",141.5,24.3,Rural
55065,WI,Lafayette County,55065970500,10,10.0,"3,277",201.5,16.3,Rural
55075,WI,Marinette County,55075960200,10,10.0,"4,232",536.7,7.9,Rural
55075,WI,Marinette County,55075960600,10,10.0,"2,428",131.4,18.5,Rural
55075,WI,Marinette County,55075960700,10,10.0,"2,847",182.9,15.6,Rural
55075,WI,Marinette County,55075960800,10,10.0,"2,490",60.4,41.2,Rural
55075,WI,Marinette County,55075961000,10,10.0,"4,131",131.6,31.4,Rural
55077,WI,Marquette County,55077960100,10,10.0,"2,823",126.2,22.4,Rural
55077,WI,Marquette County,55077960200,10,10.0,"2,493",104.0,24,Rural
55077,WI,Marquette County,55077960300,10,10.0,"3,831",82.8,46.3,Rural
55077,WI,Marquette County,55077960500,10,10.0,"3,655",67.9,53.9,Rural
55078,WI,Menominee County,55078940101,10,10.0,"1,375",23.0,59.8,Rural
55078,WI,Menominee County,55078940102,10,10.0,"2,857",334.6,8.5,Rural
55079,WI,Milwaukee County,55079980000,10,10.0,0,0.7,0,Rural
55081,WI,Monroe County,55081950200,10,10.0,"4,892",263.6,18.6,Rural
55081,WI,Monroe County,55081950800,10,10.0,"4,421",159.7,27.7,Rural
55081,WI,Monroe County,55081950900,10,10.0,"5,469",150.5,36.3,Rural
55083,WI,Oconto County,55083100300,10,10.0,"2,756",233.1,11.8,Rural
55083,WI,Oconto County,55083100600,10,10.0,"2,828",110.8,25.5,Rural
55083,WI,Oconto County,55083100700,10,10.0,"2,963",64.3,46.1,Rural
55083,WI,Oconto County,55083100800,10,10.0,"2,507",81.3,30.9,Rural
55085,WI,Oneida County,55085970101,10,10.0,"1,554",52.1,29.8,Rural
55085,WI,Oneida County,55085970800,10,10.0,"2,390",31.4,76.1,Rural
55085,WI,Oneida County,55085970900,10,10.0,"2,363",72.3,32.7,Rural
55085,WI,Oneida County,55085971002,10,10.0,"2,337",131.4,17.8,Rural
55085,WI,Oneida County,55085971300,10,10.0,"1,875",10.2,184.6,Rural
55091,WI,Pepin County,55091950100,10,10.0,"4,051",92.0,44,Rural
55091,WI,Pepin County,55091950200,10,10.0,"3,418",139.9,24.4,Rural
55093,WI,Pierce County,55093960100,10,10.0,"2,843",65.9,43.1,Rural
55093,WI,Pierce County,55093960800,10,10.0,"3,698",175.8,21,Rural
55095,WI,Polk County,55095960100,10,10.0,"3,722",172.1,21.6,Rural
55095,WI,Polk County,55095960200,10,10.0,"3,796",131.2,28.9,Rural
55095,WI,Polk County,55095960300,10,10.0,"5,236",156.2,33.5,Rural
55095,WI,Polk County,55095960600,10,10.0,"2,344",29.6,79.1,Rural
55095,WI,Polk County,55095960700,10,10.0,"5,803",49.3,117.8,Rural
55095,WI,Polk County,55095961100,10,10.0,"3,907",85.4,45.7,Rural
55099,WI,Price County,55099970100,10,10.0,"2,664",423.5,6.3,Rural
55099,WI,Price County,55099970200,10,10.0,"2,740",17.0,161.6,Rural
55099,WI,Price County,55099970400,10,10.0,"1,861",195.8,9.5,Rural
55099,WI,Price County,55099970500,10,10.0,"2,112",72.6,29.1,Rural
55099,WI,Price County,55099970600,10,10.0,"2,268",288.7,7.9,Rural
55099,WI,Price County,55099970700,10,10.0,"2,514",256.8,9.8,Rural
55103,WI,Richland County,55103970100,10,10.0,"2,858",145.4,19.7,Rural
55105,WI,Rock County,55105003300,10,10.0,"3,600",45.3,79.5,Rural
55107,WI,Rusk County,55107960300,10,10.0,"2,245",105.8,21.2,Rural
55109,WI,St. Croix County,55109120700,10,10.0,"4,569",144.0,31.7,Rural
55111,WI,Sauk County,55111000800,10,10.0,"3,873",91.2,42.5,Rural
55111,WI,Sauk County,55111001100,10,10.0,"4,134",184.6,22.4,Rural
55113,WI,Sawyer County,55113100400,10,10.0,"2,205",132.9,16.6,Rural
55113,WI,Sawyer County,55113100500,10,10.0,"3,394",319.9,10.6,Rural
55113,WI,Sawyer County,55113100700,10,10.0,"1,654",185.8,8.9,Rural
55113,WI,Sawyer County,55113100800,10,10.0,"1,658",457.9,3.6,Rural
55113,WI,Sawyer County,55113940000,10,10.0,"3,062",131.0,23.4,Rural
55115,WI,Shawano County,55115100600,10,10.0,"4,240",157.2,27,Rural
55115,WI,Shawano County,55115100700,10,10.0,"3,423",143.2,23.9,Rural
55115,WI,Shawano County,55115100800,10,10.1,"4,860",146.2,33.2,Rural
55115,WI,Shawano County,55115101000,10,10.0,"3,801",70.4,54,Rural
55119,WI,Taylor County,55119960100,10,10.3,"4,290",221.0,19.4,Rural
55119,WI,Taylor County,55119960300,10,10.0,"3,001",252.5,11.9,Rural
55121,WI,Trempealeau County,55121100300,10,10.0,"2,455",76.4,32.1,Rural
55121,WI,Trempealeau County,55121100400,10,10.0,"3,912",86.3,45.3,Rural
55121,WI,Trempealeau County,55121100500,10,10.0,"3,091",106.7,29,Rural
55123,WI,Vernon County,55123960100,10,10.0,"4,266",138.1,30.9,Rural
55123,WI,Vernon County,55123960200,10,10.0,"4,186",138.5,30.2,Rural
55123,WI,Vernon County,55123960300,10,10.0,"4,307",68.7,62.7,Rural
55125,WI,Vilas County,55125940000,10,10.0,"3,473",99.4,34.9,Rural
55125,WI,Vilas County,55125950200,10,10.0,"4,140",217.2,19.1,Rural
55125,WI,Vilas County,55125950500,10,10.0,"5,772",73.5,78.6,Rural
55125,WI,Vilas County,55125950600,10,10.0,"3,739",394.6,9.5,Rural
55125,WI,Vilas County,55125950700,10,10.0,"4,306",71.9,59.8,Rural
55129,WI,Washburn County,55129950100,10,10.0,"2,044",212.1,9.6,Rural
55129,WI,Washburn County,55129950300,10,10.0,"2,691",197.7,13.6,Rural
55135,WI,Waupaca County,55135100200,10,10.0,"2,813",164.2,17.1,Rural
55135,WI,Waupaca County,55135100300,10,10.0,"3,847",76.0,50.6,Rural
55135,WI,Waupaca County,55135100400,10,10.0,"4,413",105.2,41.9,Rural
55135,WI,Waupaca County,55135100700,10,10.0,"3,359",47.2,71.1,Rural
55137,WI,Waushara County,55137960300,10,10.0,"3,249",107.5,30.2,Rural
55137,WI,Waushara County,55137960400,10,10.0,"3,456",135.6,25.5,Rural
55005,WI,Barron County,55005001001,9,9.0,"1,874",77.9,24.1,Rural
55023,WI,Crawford County,55023960300,9,9.0,"2,486",202.3,12.3,Rural
55029,WI,Door County,55029101000,9,9.0,"2,184",54.3,40.2,Rural
55049,WI,Iowa County,55049950200,9,9.0,"3,147",163.9,19.2,Rural
55057,WI,Juneau County,55057100300,9,9.0,"3,246",65.1,49.9,Rural
55057,WI,Juneau County,55057100700,9,9.0,"4,037",149.5,27,Rural
55085,WI,Oneida County,55085971001,9,9.0,"1,181",193.1,6.1,Rural
55095,WI,Polk County,55095960500,9,9.0,"2,951",85.7,34.4,Rural
55103,WI,Richland County,55103970500,9,9.0,"4,240",155.0,27.4,Rural
