Unnamed: 0,ZipCode,CountyFIPS,CensusTract,CensusBlock,Assigned-or-Unassigned-USDA-Classification,State-County-TractFIPSCode,State-County FIPS Code,Select State,Select County,Total-FIPS-Code,Primary RUCA Code 2010,UrbanThreshold,RuralThreshold,Urban-or-Rural-USDA-Classification,Urban-or-Rural-CENSUS-Classification,Match/Mismatch
0,54902,55139.0,1100,1001.0,Assigned,55139001100,55139.0,WI,Winnebago County,55139001100.0,1.0,100.0,0.0,Urban,Urban,Match
1,53703,55025.0,1603,2000.0,Assigned,55025001603,55025.0,WI,Dane County,55025001603.0,1.0,100.0,0.0,Urban,Urban,Match
2,54476,55073.0,900,2013.0,Assigned,55073000900,55073.0,WI,Marathon County,55073000900.0,1.0,100.0,0.0,Urban,Urban,Match
3,53511,55105.0,2500,2002.0,Assigned,55105002500,55105.0,WI,Rock County,55105002500.0,1.0,100.0,0.0,Urban,Urban,Match
4,53511,55105.0,2500,2002.0,Assigned,55105002500,55105.0,WI,Rock County,55105002500.0,1.0,100.0,0.0,Urban,Urban,Match
6,53511,55105.0,2500,2002.0,Assigned,55105002500,55105.0,WI,Rock County,55105002500.0,1.0,100.0,0.0,Urban,Urban,Match
7,53511,55105.0,2500,2002.0,Assigned,55105002500,55105.0,WI,Rock County,55105002500.0,1.0,100.0,0.0,Urban,Urban,Match
8,53511,55105.0,2500,2002.0,Assigned,55105002500,55105.0,WI,Rock County,55105002500.0,1.0,100.0,0.0,Urban,Urban,Match
9,53511,55105.0,2500,2002.0,Assigned,55105002500,55105.0,WI,Rock County,55105002500.0,1.0,100.0,0.0,Urban,Urban,Match
11,53511,55105.0,2500,2002.0,Assigned,55105002500,55105.0,WI,Rock County,55105002500.0,1.0,100.0,0.0,Urban,Urban,Match
12,53511,55105.0,2500,2002.0,Assigned,55105002500,55105.0,WI,Rock County,55105002500.0,1.0,100.0,0.0,Urban,Urban,Match
13,53511,55105.0,2500,2002.0,Assigned,55105002500,55105.0,WI,Rock County,55105002500.0,1.0,100.0,0.0,Urban,Urban,Match
