ZipCode,CountyFIPS,CensusTract,CensusBlock
54902,55139,1100,1001
53703,55025,1603,2000
54476,55073,900,2013
53511,55105,2500,2002
53511,55105,2500,2002
53511,55105,2100,2001
53511,55105,2500,2002
53511,55105,2500,2002
53511,55105,2500,2002
53511,55105,2500,2002
53559,55025,11800,2031
53511,55105,2500,2002
53511,55105,2500,2002
53511,55105,2500,2002
53511,55105,2500,2002
53511,55105,2500,2002
53511,55105,2500,2002
53511,55105,2500,2002
53511,55105,2500,2002
53511,55105,2500,2002
53511,55105,2500,2002
53590,55025,11506,1015
53590,55025,11506,1015
53590,55025,11506,1015
53590,55025,11506,1015
53094,55055,100200,3027
53094,55055,100200,3027
53575,55025,12501,1016
53575,55025,12501,1016
53711,55025,10701,2005
53590,55025,11506,1014
53590,55025,11505,2002
53590,55025,11506,1009
53590,55025,11504,1028
53226,55079,90700,1000
,,,
53590,55025,11504,2038
54140,55087,11900,2029
53590,55025,11402,3171
53590,55025,11506,2003
53590,55025,11503,2042
53590,55025,11600,2054
53590,55025,11503,1042
53590,55025,11600,2011
53590,55025,11600,2014
54720,55035,400,3043
54701,55035,302,1125
54720,55035,400,5044
54720,55035,400,2000
54701,55035,803,2035
54701,55035,801,2002
54758,55121,100100,2095
54703,,,
54701,55035,302,2018
54742,55035,302,1189
54742,55035,302,1189
54729,55017,10500,4047
54724,55017,11200,4092
54729,55017,10200,3058
54729,55017,10200,3058
54729,55017,10200,3058
54701,55035,803,1026
54720,55035,400,4008
54720,55035,400,4002
54701,55035,302,1149
54701,55035,400,2023
54493,55019,950800,1095
54720,55035,400,4008
54701,55035,302,3025
54701,55035,802,2014
54701,55035,802,2014
54721,55091,950200,1079
54729,55017,10300,5011
53590,55025,11505,3002
54982,55137,960800,2025
53590,55025,11506,1012
53714,55025,3001,1008
54915,55087,11600,3028
53590,55025,11402,3124
54703,55035,501,3005
54703,55035,501,2023
54703,55035,501,2023
53590,55025,11503,2052
54703,55035,1300,1099
54720,55035,400,3006
54720,55035,400,1018
54720,55035,400,1018
54703,55035,1500,1064
54703,55035,1500,1064
54701,,,
54701,,,
54703,55035,501,3016
54701,55035,302,1098
54729,55017,10100,1000
54703,55035,502,2012
54701,55035,400,1037
54729,55017,10700,3011
54467,55097,961200,3068
53590,55025,11504,1009
53590,55025,11504,1009
53590,55025,11600,3050
53590,55025,11600,3050
53590,55025,11600,3050
53590,55025,11600,3002
53590,55025,11505,2002
54956,55139,3200,1010
54136,55087,11600,4011
53590,55025,11505,2002
54720,55035,400,3024
54703,55035,1500,1064
54703,55035,502,2012
54703,55035,1300,1099
54703,55035,1300,1099
54703,55035,1300,1099
54703,55035,301,2056
53590,55025,11402,3124
54915,55087,11600,5011
53594,55055,100400,2037
54494,55141,11000,1030
54703,55035,1101,1025
53559,55025,11800,3035
53590,55025,11402,3128
54016,55109,120300,1024
54729,55017,10700,3073
54703,55035,301,2101
54720,55035,400,3024
54703,55035,1300,1082
54701,55035,803,2025
54494,55141,11000,1030
54494,55141,11300,3066
54646,55057,100100,2085
54401,55073,602,2019
54701,,,
54613,55001,950202,2083
54701,55035,302,1025
54703,55017,10100,2073
53590,55025,11600,2013
53590,55025,11600,2013
53704,55025,2602,1005
53590,55025,11503,1019
53559,55025,11800,3002
54729,55017,10700,2013
53590,55025,11503,1057
54701,55035,1600,3024
54646,55057,100300,3024
53589,55025,12300,4034
53590,55025,11503,2005
54703,55035,1300,1073
53594,55027,961800,3076
54720,55035,400,2005
54703,55035,1300,1073
53590,55025,11402,3171
53590,55025,11402,3171
53186,55133,202500,3014
53590,55025,11600,2043
53590,55025,11600,2018
53590,55025,11600,2018
54720,55035,400,4008
53213,55079,91200,1002
53590,55025,11600,2040
53590,55025,11600,2040
53590,55025,11600,2014
54703,55035,301,1026
54720,55035,400,5037
53589,55025,12300,2035
53532,55025,13301,2022
53532,55025,13301,2022
54701,55035,801,4017
54703,55035,301,1026
53590,55025,11503,2059
53590,55025,11506,2009
53590,55025,11600,2040
53590,55025,11506,2008
53532,55025,13200,2113
53593,55025,10800,3001
53593,55025,10800,3001
54738,55035,1600,2069
53590,55025,11504,1011
53590,55025,11402,1000
53590,55025,11504,1014
53590,55025,11503,2012
53718,55025,11401,2015
54701,55035,700,3002
54703,55035,502,3025
54703,55035,1200,6014
54005,55095,961100,3045
54001,55095,961000,3037
54020,55095,960800,1073
54028,55109,120800,3007
54017,55109,120600,3033
54013,55109,120700,2062
54017,55109,120501,2017
54017,55109,120600,5047
54017,55109,120600,1054
54016,55109,120904,2017
54025,55109,120600,3024
54739,55033,970400,1049
54016,55109,120201,2005
54017,,,
54005,55095,961100,1101
54016,55109,120903,1091
54017,55109,120502,1015
54016,55109,120300,1018
54082,55109,120400,4001
54017,55109,120502,2074
54005,55095,961100,3072
54022,55093,960300,2011
54022,55109,120901,1003
54017,,,
54015,55109,121000,3026
54020,55095,960900,3054
54016,55109,120400,3041
53227,55079,101200,1010
53150,55133,201703,2009
54935,55039,40700,2012
53211,55079,7300,2001
54220,55071,100,2013
53520,55045,960800,2022
53179,55059,2904,4026
53149,55133,203902,3012
53218,55079,1700,1003
54130,55087,12300,2013
54401,55073,1400,1103
53575,55025,12400,1051
53226,55079,90600,3003
53120,55127,101,3001
54601,55063,500,2014
54169,55015,20306,3045
54901,55139,700,1006
53213,55079,91300,3002
53089,55133,203403,3024
53214,55079,100200,1009
53094,55055,100100,4049
53142,55059,2601,1038
53548,55105,400,3014
53149,55133,203802,1008
53186,55133,202302,2023
53711,55025,1000,1029
53228,55079,120102,3001
53213,55079,90900,3009
53215,55079,20400,3003
53037,55131,450103,2048
53711,55025,600,3003
54901,55139,1700,3012
53913,55111,401,1028
53118,55133,204004,3019
53405,55101,1100,1007
53532,55025,13301,2022
53711,55025,600,1024
53719,55025,504,3019
53717,55025,205,3004
53219,55079,101500,4006
53719,55025,504,3023
54426,55073,1900,2033
53711,55025,407,2000
53215,55079,110100,1023
53704,55025,2200,1006
54729,55017,10200,2017
54935,55039,41100,4026
53140,,,
53072,55133,203704,3033
53566,55045,960500,3022
53704,55025,2100,1006
53703,55025,1900,2013
53963,55027,960300,2000
53562,55025,11101,3008
53562,55025,11000,1017
53209,55079,900,1004
53144,55059,602,4001
53214,55079,100400,3006
53209,55079,2000,1002
54914,55087,11102,2011
54901,55139,1600,1025
54481,55097,960800,1030
53536,55105,2900,2005
53072,55133,203704,3033
54914,55087,11101,2004
53589,55025,12202,4011
53121,55127,901,2028
54130,55087,12100,3000
53095,55131,420200,1008
53010,55039,41900,6075
53711,55025,600,2004
54481,55097,960400,4043
53716,55025,10400,1012
54935,55039,40800,1001
53211,55079,7600,3001
53095,55131,420200,3004
53562,55025,10904,4046
54241,55071,5200,4010
53534,55105,3002,4026
53110,55079,180300,3003
53051,55133,200101,3007
53963,55039,41800,3064
53578,55111,600,3031
53150,55133,201703,1003
53562,55025,10901,1081
53211,55079,7600,2002
53916,55027,961000,3012
53703,55025,1804,1002
53142,55059,1200,2013
53590,55025,11505,2002
54403,55073,1500,2037
53505,55105,3200,2040
53094,55055,100300,2009
54601,55063,1000,3000
53597,55025,11200,2007
53143,55059,2300,5005
54901,55139,300,3028
53703,55025,1900,3017
53704,55025,2602,2008
53092,55089,660100,3003
53185,55101,2701,2018
54313,55009,20504,1019
54915,55087,10800,1001
53214,55079,100200,1009
53705,55025,10100,2012
54115,55009,10202,2000
53051,55133,200103,1005
54701,55035,700,6005
53132,55079,187300,2009
54401,55073,400,1021
53713,55025,1402,3021
53186,55133,201201,1025
53711,,,
53158,55059,2000,3027
53556,55103,970500,2002
53129,55079,140201,1001
53219,55079,19300,1008
53532,55025,13302,2003
53590,55025,11402,3191
53405,55101,1202,5001
53590,55025,11504,2014
54724,55017,11200,4004
54481,55097,960900,4007
53594,55055,100400,3026
53597,55025,11301,2038
53402,55101,1505,1015
53566,55045,960500,3033
54406,55097,960600,3018
53578,55111,600,2046
53227,,,
53213,55079,91400,2004
53037,55131,450104,2032
53222,55079,5300,2012
53589,55025,12002,5002
54915,55139,2500,3001
53227,55079,101000,3001
53207,55079,21000,2005
53081,55117,1000,1001
53216,55079,3700,1013
54481,55097,961000,1032
53215,55079,17300,2000
53589,55025,12202,4010
54601,55063,1000,4022
53590,55025,11506,1020
54448,55073,1900,7024
53119,55133,204002,2011
54937,55039,40700,5073
53129,55079,140201,2012
53094,55055,100200,1003
53094,55055,100300,2009
53219,55079,101600,5002
53208,55079,9400,3003
53818,55043,961000,1002
54658,55123,960700,1060
53703,55025,1900,4023
53404,55101,1502,1002
53901,55021,970400,5014
54942,55087,12601,4030
53038,55055,100700,1040
53534,55025,12100,2041
53219,55079,19300,2002
53562,55025,10904,2033
54768,55017,10900,4026
53114,55127,600,2039
53211,55079,80200,3008
53711,55025,10701,2005
54956,55139,3500,2003
53711,55025,1403,3054
53515,55025,13100,4100
53115,55127,800,3002
54965,55137,960100,3026
53590,55025,11505,3008
53511,55105,2601,3029
53051,55133,200202,2004
54751,55033,970800,3008
53154,55079,160202,3020
53188,55133,203101,1010
53092,,,
53202,55079,14300,2002
53226,,,
54601,55063,700,3006
53210,55079,90900,4001
53589,55025,12100,2005
53532,55025,13301,2022
53716,55025,3100,3006
53092,55089,660301,3000
53536,55105,2900,3038
53076,55131,460101,1041
53217,55079,70200,4007
53719,55025,504,3023
53037,55131,450103,2054
53029,55133,203602,3009
53511,55105,2601,3005
53092,55089,660304,2009
53575,55025,12400,1051
54115,55009,940001,3086
54140,55087,11900,2025
53402,55101,1504,2001
53185,55101,2001,2005
53142,55059,2300,2004
53590,55025,11506,1018
53713,55025,1401,3014
54911,55087,11502,2006
54983,55135,101200,2049
53913,55111,401,2005
53704,55025,2000,4014
54915,55015,20303,1000
53214,55079,110100,2012
53221,55079,20300,1014
53562,55025,10901,1102
53548,55105,300,2017
53403,55101,800,3021
53589,55025,10600,4019
53725,55025,1300,2005
53532,55025,11402,3101
53718,55025,11401,3018
53704,55025,2301,1009
53704,55025,2200,2023
53711,55025,401,1007
53719,55025,405,3010
54952,55139,2800,3009
53151,55133,201506,1006
53151,55133,201506,3002
53209,55079,60200,4006
54914,55087,11102,1001
53705,55025,902,4014
53212,55079,7100,1004
53177,55101,1702,4009
53711,55025,407,2000
53532,55025,13301,1025
53711,55025,1403,3054
54911,55087,10300,3011
53012,55089,650300,4009
53158,55059,2000,2032
53597,,,
53549,55055,101000,1013
53916,55027,960800,3002
53402,55101,1504,2010
53719,55025,504,2006
53097,55089,660201,1013
53711,55025,501,1005
54521,55125,950500,3027
53223,55079,304,2011
53223,55079,50101,1011
53215,55079,17200,2003
53219,55079,19000,5002
53206,55079,6500,3004
53210,55079,4800,4000
53223,,,
53208,55079,9500,1006
53215,55079,20400,3000
53208,55079,9600,2016
53202,55079,11200,2008
53223,55079,102,2010
53214,55079,13000,1009
53215,55079,17400,1006
53215,55079,17200,2003
53233,55079,14700,2004
53207,55079,20700,3004
53204,55079,17000,1006
53224,55079,202,2016
53220,55079,19700,3011
53208,55079,12500,2015
53227,55079,101400,1008
53218,55079,1800,3006
53219,55079,101600,4010
53217,55079,70100,5004
53214,55079,13000,1009
53214,55079,12900,1015
53233,55079,14700,1002
53207,55079,18100,2002
53220,55079,19700,3011
53214,55079,12900,1015
53214,55079,100200,3002
53226,55079,90600,1018
53225,55079,301,1021
53225,55079,501,2003
53129,55079,140202,4004
53217,55079,70200,1000
53202,55079,187000,1008
54961,55135,100900,3040
53142,55059,2300,4002
54476,55073,1102,1052
53013,55117,11300,4020
53206,55079,185400,1006
53916,55027,960800,4025
53190,55127,400,3006
53504,55045,960200,2048
54944,55087,12700,3029
54165,55087,13100,2037
54616,55121,100500,2080
54913,55087,12503,1008
54913,55087,12503,1008
54913,55087,12503,1008
53589,55025,12202,4020
53555,55021,970800,1038
53525,55105,3300,3018
53191,55127,1603,1048
53140,55059,500,2005
54616,55121,100500,1130
54174,55083,100600,1147
54913,55087,12503,1008
54701,55035,302,1116
54701,55035,302,1090
54701,55035,700,5021
54843,55113,100300,3027
54843,55113,100500,5062
53555,55021,970900,2018
53142,55059,2300,4002
53555,55021,970900,2018
53142,55059,2300,4002
53555,55025,13200,1003
53142,55059,2300,4002
53142,55059,2300,4002
53090,55131,420105,2028
53188,55133,203101,2012
53581,55103,970500,4017
53217,55079,30100,1036
53066,55133,204100,1006
53189,55133,202301,2005
53202,55079,14300,2005
53202,55079,187400,1057
53188,55133,203101,4006
53132,55079,187300,3000
53217,55079,70100,2007
53005,55133,200902,3001
53217,55079,30100,2003
53029,55133,203602,2000
53188,55133,203101,3006
53149,55133,203902,3007
53546,55105,1100,4016
53546,55105,1304,2009
53132,55079,150100,1010
53188,55133,203102,3003
53029,55133,203405,1025
53066,55133,204301,4018
53129,55079,140201,1023
53189,55133,203804,4013
53209,55079,900,2001
53214,55079,110100,3012
53029,55133,203500,3032
53066,55133,204100,1006
53018,55133,203702,2007
53132,55079,150100,3018
53132,55079,150301,2016
53066,55133,204301,1017
53214,55079,12700,1013
53590,55025,11504,2025
53029,55133,203601,2006
53188,55133,203702,4005
53072,55133,203304,2039
53066,55133,204200,2046
53223,55079,50102,3007
53156,55055,101600,3044
