GISJOIN,YEAR,GEOID,GEOCODE,STATE,COUNTY,COUNTYA,TRACTA,U7I001,U7I002,U7I003,UrbanThreshold,RuralThreshold
G5500010950100,2020,1400000US55001950100,55001950100,Wisconsin,Adams County,1,950100,3242,0,3242,0,100
G5500010950201,2020,1400000US55001950201,55001950201,Wisconsin,Adams County,1,950201,1386,0,1386,0,100
G5500010950203,2020,1400000US55001950203,55001950203,Wisconsin,Adams County,1,950203,935,0,935,0,100
G5500010950204,2020,1400000US55001950204,55001950204,Wisconsin,Adams County,1,950204,1646,0,1646,0,100
G5500010950400,2020,1400000US55001950400,55001950400,Wisconsin,Adams County,1,950400,4491,0,4491,0,100
G5500010950501,2020,1400000US55001950501,55001950501,Wisconsin,Adams County,1,950501,1418,0,1418,0,100
G5500010950502,2020,1400000US55001950502,55001950502,Wisconsin,Adams County,1,950502,3775,0,3775,0,100
G5500010950700,2020,1400000US55001950700,55001950700,Wisconsin,Adams County,1,950700,3761,0,3761,0,100
G5500030940000,2020,1400000US55003940000,55003940000,Wisconsin,Ashland County,3,940000,2066,0,2066,0,100
G5500030950300,2020,1400000US55003950300,55003950300,Wisconsin,Ashland County,3,950300,2735,2655,80,97.0749543,2.925045704
G5500030950400,2020,1400000US55003950400,55003950400,Wisconsin,Ashland County,3,950400,2267,1924,343,84.86987208,15.13012792
G5500030950500,2020,1400000US55003950500,55003950500,Wisconsin,Ashland County,3,950500,2212,0,2212,0,100
G5500030950600,2020,1400000US55003950600,55003950600,Wisconsin,Ashland County,3,950600,1356,0,1356,0,100
G5500030950700,2020,1400000US55003950700,55003950700,Wisconsin,Ashland County,3,950700,2043,0,2043,0,100
G5500030950800,2020,1400000US55003950800,55003950800,Wisconsin,Ashland County,3,950800,3348,2646,702,79.03225806,20.96774194
G5500030990000,2020,1400000US55003990000,55003990000,Wisconsin,Ashland County,3,990000,0,0,0,,
G5500050000100,2020,1400000US55005000100,55005000100,Wisconsin,Barron County,5,100,3931,7,3924,0.178071737,99.82192826
G5500050000200,2020,1400000US55005000200,55005000200,Wisconsin,Barron County,5,200,4079,0,4079,0,100
G5500050000300,2020,1400000US55005000300,55005000300,Wisconsin,Barron County,5,300,4182,0,4182,0,100
G5500050000400,2020,1400000US55005000400,55005000400,Wisconsin,Barron County,5,400,5669,0,5669,0,100
G5500050000500,2020,1400000US55005000500,55005000500,Wisconsin,Barron County,5,500,4677,4480,197,95.78789823,4.212101775
G5500050000601,2020,1400000US55005000601,55005000601,Wisconsin,Barron County,5,601,2466,2328,138,94.40389294,5.596107056
