STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
55,001,950204,55001950204,1400000US55001950204,9502.04,Census Tract 9502.04,G5020,S,353539615,49159328,+44.0462804,-089.6886609
55,001,950203,55001950203,1400000US55001950203,9502.03,Census Tract 9502.03,G5020,S,114351980,1368834,+44.1209611,-089.7278541
55,009,940002,55009940002,1400000US55009940002,9400.02,Census Tract 9400.02,G5020,S,11531694,0,+44.5157530,-088.1259731
55,117,010504,55117010504,1400000US55117010504,105.04,Census Tract 105.04,G5020,S,38350718,219284,+43.7519968,-088.0088993
55,117,011302,55117011302,1400000US55117011302,113.02,Census Tract 113.02,G5020,S,77506338,591219,+43.5799760,-087.8668431
55,117,010503,55117010503,1400000US55117010503,105.03,Census Tract 105.03,G5020,S,6338369,218145,+43.7334798,-087.9733608
55,117,011301,55117011301,1400000US55117011301,113.01,Census Tract 113.01,G5020,S,38168247,6649974,+43.5973676,-087.7868377
55,009,020100,55009020100,1400000US55009020100,201,Census Tract 201,G5020,S,165104649,105013505,+44.5931471,-087.8431334
55,013,970600,55013970600,1400000US55013970600,9706,Census Tract 9706,G5020,S,393581086,22899082,+45.7909042,-092.1447634
55,009,001600,55009001600,1400000US55009001600,16,Census Tract 16,G5020,S,3538241,8847,+44.4885958,-087.9835008
55,009,001801,55009001801,1400000US55009001801,18.01,Census Tract 18.01,G5020,S,11713129,34950,+44.5146596,-087.9165411
55,009,001802,55009001802,1400000US55009001802,18.02,Census Tract 18.02,G5020,S,20140123,20678230,+44.5256892,-087.9732410
55,009,002001,55009002001,1400000US55009002001,20.01,Census Tract 20.01,G5020,S,6976236,13298,+44.4981471,-087.9606188
55,009,002002,55009002002,1400000US55009002002,20.02,Census Tract 20.02,G5020,S,3632749,0,+44.4804467,-087.9564684
55,009,002003,55009002003,1400000US55009002003,20.03,Census Tract 20.03,G5020,S,13565397,16425,+44.4861617,-087.9132809
55,009,010100,55009010100,1400000US55009010100,101,Census Tract 101,G5020,S,4789500,496893,+44.4500418,-088.0437738
55,009,010300,55009010300,1400000US55009010300,103,Census Tract 103,G5020,S,19256092,604753,+44.4118555,-088.0353522
55,009,020502,55009020502,1400000US55009020502,205.02,Census Tract 205.02,G5020,S,21326636,11872034,+44.5760497,-088.0375996
55,001,950700,55001950700,1400000US55001950700,9507,Census Tract 9507,G5020,S,261064457,8536124,+43.7124887,-089.6814892
